"id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100"
"1002098",-0.190453509537625,2.35076123449068,0.91878616572472,-0.869241797694476,-1.03020921514548,0.315224598079975,0.0192355977493741,-0.199495016925175,0.106091484521983,0.166317325545094,0.0772748051012824,-0.0372784958663103,0.0254865175632413,-0.0390796716748196,0.0356208714521854,0.00514692498800952,-6.17561557447743e-16,1.51961776495568e-15,2.84494650060196e-16,-1.31838984174237e-16,2.8796409701215e-16,-8.2572837456496e-16,-3.64291929955129e-16,1.73472347597681e-16,-7.80625564189563e-17,6.93889390390723e-17,5.03069808033274e-17,1.2490009027033e-16,4.23272528138341e-16,-1.38777878078145e-17,4.85722573273506e-17,-3.46944695195361e-16,-3.88578058618805e-16,-3.92047505570758e-16,-2.35922392732846e-16,1.70002900645727e-16,-4.16333634234434e-17,-1.52655665885959e-16,1.28369537222284e-16,2.4459601011273e-16,3.33066907387547e-16,-6.69603261727048e-16,3.7470027081099e-16,2.63677968348475e-16,1.45716771982052e-16,9.71445146547012e-17,-1.80411241501588e-16,9.0205620750794e-17,-2.25514051876985e-16,-1.66533453693773e-16,1.07552855510562e-16,-4.16333634234434e-17,1.94289029309402e-16,-2.4980018054066e-16,-1.04083408558608e-16,-1.11022302462516e-16,5.55111512312578e-17,1.04083408558608e-16,7.28583859910259e-17,-2.08166817117217e-17,3.05311331771918e-16,-1.21430643318376e-17,-1.38777878078145e-17,5.55111512312578e-17,-2.77555756156289e-16,1.12757025938492e-16,-5.55111512312578e-17,1.56125112837913e-16,2.77555756156289e-17,-1.82145964977565e-16,1.38777878078145e-16,8.32667268468867e-17,-8.32667268468867e-17,-2.28983498828939e-16,1.31838984174237e-16,-2.15105711021124e-16,-4.16333634234434e-17,-2.77555756156289e-17,-7.11236625150491e-17,-1.35308431126191e-16,7.63278329429795e-17,-2.77555756156289e-17,7.63278329429795e-17,6.93889390390723e-17,-6.93889390390723e-17,6.93889390390723e-17,-8.67361737988404e-17,-8.76035355368288e-17,5.72458747072346e-17,-8.32667268468867e-17,1.38777878078145e-16,-1.38777878078145e-16,-6.24500451351651e-17,0,-5.55111512312578e-17,-5.55111512312578e-17,5.55111512312578e-17,-4.5102810375397e-17,-1.11022302462516e-16,-1.76941794549634e-16
"1006198",0.527619255922649,2.83728999540036,0.614321261289343,1.2053492791661,0.752256434522457,-0.405652577648934,-0.0945189597363209,0.00424109835481337,0.0825115494066355,0.0308086778186791,0.0199680649401585,0.0629664568910707,-0.0268552858371375,0.0256253448829458,-0.0737335827409288,-0.00274666778555834,-1.40165656858926e-15,-6.45317133063372e-16,7.55905754656894e-16,5.13478148889135e-16,-3.19189119579733e-16,0,6.24500451351651e-16,-2.22044604925031e-16,1.07552855510562e-16,2.4980018054066e-16,3.05311331771918e-16,9.71445146547012e-17,-2.22044604925031e-16,-2.08166817117217e-16,1.2490009027033e-16,1.38777878078145e-16,-5.55111512312578e-17,0,-9.8879238130678e-17,-1.38777878078145e-17,-1.28369537222284e-16,-2.77555756156289e-17,-6.24500451351651e-17,-1.66533453693773e-16,-3.05311331771918e-16,3.12250225675825e-17,-1.2490009027033e-16,2.42861286636753e-17,-1.45716771982052e-16,2.77555756156289e-17,1.38777878078145e-17,-4.44089209850063e-16,2.63677968348475e-16,-2.08166817117217e-16,-3.05311331771918e-16,-7.63278329429795e-17,-2.03830008427275e-17,-2.08166817117217e-16,1.04083408558608e-16,-3.33066907387547e-16,0,1.11022302462516e-16,-8.50014503228635e-17,-1.11022302462516e-16,2.63677968348475e-16,1.94289029309402e-16,-3.46944695195361e-17,-6.24500451351651e-17,-2.80374681804751e-16,1.94289029309402e-16,-1.66533453693773e-16,1.73472347597681e-16,3.60822483003176e-16,3.2612801348364e-16,2.77555756156289e-17,-9.36750677027476e-17,-9.71445146547012e-17,-1.38777878078145e-16,-4.16333634234434e-17,4.16333634234434e-17,1.94289029309402e-16,8.32667268468867e-17,8.32667268468867e-17,2.77555756156289e-17,2.98372437868011e-16,-1.05818132034585e-16,2.39391839684799e-16,-1.11022302462516e-16,5.55111512312578e-17,-6.93889390390723e-17,1.0842021724855e-16,-3.05311331771918e-16,-1.80411241501588e-16,1.38777878078145e-16,-9.71445146547012e-17,-2.63677968348475e-16,-2.53269627492614e-16,0,8.32667268468867e-17,7.63278329429795e-17,1.2490009027033e-16,-7.63278329429795e-17,1.11022302462516e-16,-8.5868812060852e-17
"1009549",4.72424379283533,-0.63745012080267,-0.207869448648393,-0.052564562624013,0.203605395087994,0.119430119294169,0.868571148164888,-0.112335368746316,0.153336896119224,0.151874266717741,0.208993168134937,-0.0367290042970287,0.0467989704523118,0.0194323188620474,-0.0179037645262871,-0.049192228895054,-3.66373598126302e-15,3.33066907387547e-15,2.08166817117217e-17,-3.33066907387547e-16,0,1.11022302462516e-16,4.71844785465692e-16,-2.35922392732846e-16,-4.57966997657877e-16,5.55111512312578e-17,-8.32667268468867e-17,2.60208521396521e-16,2.22044604925031e-16,-3.88578058618805e-16,-2.22044604925031e-16,2.22044604925031e-16,1.11022302462516e-16,2.04697370165263e-16,-9.71445146547012e-17,-3.19189119579733e-16,-6.10622663543836e-16,1.11022302462516e-16,5.55111512312578e-17,-1.45716771982052e-16,0,9.71445146547012e-17,-9.30245463992563e-17,-2.77555756156289e-16,-2.63677968348475e-16,1.11022302462516e-16,3.33066907387547e-16,-7.21644966006352e-16,-7.28583859910259e-17,2.77555756156289e-16,9.0205620750794e-17,0,3.88578058618805e-16,-5.55111512312578e-16,3.46944695195361e-17,4.16333634234434e-17,1.94289029309402e-16,-2.4980018054066e-16,-2.98372437868011e-16,3.88578058618805e-16,-4.09394740330526e-16,-2.77555756156289e-16,2.63677968348475e-16,5.55111512312578e-17,9.71445146547012e-17,-2.35922392732846e-16,7.63278329429795e-17,-4.64905891561784e-16,1.47451495458029e-16,2.77555756156289e-16,-2.08166817117217e-16,-5.55111512312578e-17,6.63531729561129e-17,-1.17961196366423e-16,-3.33066907387547e-16,-3.05311331771918e-16,5.55111512312578e-16,1.94289029309402e-16,-3.33066907387547e-16,2.22044604925031e-16,-2.22044604925031e-16,-3.33066907387547e-16,5.55111512312578e-17,1.11022302462516e-16,1.2490009027033e-16,2.22044604925031e-16,-5.55111512312578e-17,-4.16333634234434e-17,1.11022302462516e-16,-5.20417042793042e-17,3.60822483003176e-16,-1.11022302462516e-16,2.77555756156289e-17,4.16333634234434e-17,1.80411241501588e-16,-3.6949610038306e-16,-2.77555756156289e-17,-2.56739074444567e-16,-5.55111512312578e-17,-5.55111512312578e-17
"180001",4.62442336705592,0.212096124533731,-0.830904431118796,-0.0355545304161783,-0.392895226764952,-0.0282564692088901,-0.784178356549883,0.136202379204879,-0.0757654397801094,-0.137146232525518,-0.181364265324342,0.0553262216927564,-0.09770392105109,-0.00790933490210252,0.0212535782843497,0.0552062809905604,-6.93889390390723e-17,2.40692882291782e-16,1.66533453693773e-16,-7.21644966006352e-16,5.55111512312578e-17,1.94289029309402e-16,7.49400541621981e-16,-2.94902990916057e-16,2.4980018054066e-16,6.38378239159465e-16,-1.11022302462516e-16,-4.5102810375397e-17,-1.38777878078145e-16,1.09287578986539e-16,2.26381413614973e-16,5.89805981832114e-16,1.11022302462516e-16,2.98372437868011e-16,1.11022302462516e-16,-9.71445146547012e-17,1.66533453693773e-16,-3.88578058618805e-16,2.22044604925031e-16,-6.24500451351651e-17,0,1.52655665885959e-16,-4.78783679369599e-16,-4.44089209850063e-16,-9.71445146547012e-17,3.33066907387547e-16,1.38777878078145e-16,-5.82867087928207e-16,2.4980018054066e-16,5.55111512312578e-17,2.94902990916057e-16,2.77555756156289e-17,1.30971622436249e-16,-4.30211422042248e-16,-1.59594559789866e-16,1.94289029309402e-16,2.4980018054066e-16,-1.38777878078145e-16,-2.91433543964104e-16,1.38777878078145e-16,-4.71844785465692e-16,-1.11022302462516e-16,8.32667268468867e-17,-3.88578058618805e-16,6.93889390390723e-17,1.52655665885959e-16,-1.94289029309402e-16,-6.1409211049579e-16,9.0205620750794e-17,5.55111512312578e-17,-8.32667268468867e-17,-9.71445146547012e-17,4.16333634234434e-17,-3.46944695195361e-17,-2.77555756156289e-16,-3.05311331771918e-16,-8.32667268468867e-17,5.55111512312578e-17,3.33066907387547e-16,8.32667268468867e-17,-3.19189119579733e-16,-3.46944695195361e-17,-2.4980018054066e-16,-2.15105711021124e-16,1.52655665885959e-16,2.77555756156289e-16,1.11022302462516e-16,-1.11022302462516e-16,4.44089209850063e-16,3.05311331771918e-16,-4.16333634234434e-16,-1.87350135405495e-16,3.05311331771918e-16,3.60822483003176e-16,-8.32667268468867e-17,-6.93889390390723e-17,0,-5.55111512312578e-17,-2.91433543964104e-16,0
"310045",-0.071405291418512,0.338845958546405,0.525647883046439,-1.01833944158478,0.68335929882884,0.139725418055407,0.307595906453817,-0.0292907232680348,-0.128990632089001,-0.460427292735225,-0.306318895661841,-0.171186364232567,-0.154414062696548,-0.0567204823408644,0.0649402106668539,0.0774155620122097,-8.32667268468867e-16,3.48679418671338e-16,-3.53883589099269e-16,-7.14706072102445e-16,-4.63171168085807e-16,-5.55111512312578e-16,-8.23126289350995e-16,-5.55111512312578e-17,6.73072708679001e-16,-1.66533453693773e-16,3.46944695195361e-16,1.38777878078145e-16,-1.73472347597681e-16,7.07767178198537e-16,1.73472347597681e-16,1.04083408558608e-16,-2.08166817117217e-16,7.35089072945172e-17,1.70870262383715e-16,2.68882138776405e-17,2.18575157973078e-16,-1.45716771982052e-16,4.64905891561784e-16,5.55111512312578e-16,2.77555756156289e-16,2.94902990916057e-17,-4.63171168085807e-16,-1.14491749414469e-16,0,3.24393290007663e-16,6.24500451351651e-17,2.77555756156289e-17,-9.71445146547012e-17,-8.32667268468867e-17,-1.73472347597681e-16,-1.38777878078145e-17,0,-1.98625837999344e-16,-1.59594559789866e-16,4.16333634234434e-17,-1.38777878078145e-17,-2.35922392732846e-16,-1.80411241501588e-16,3.33066907387547e-16,4.16333634234434e-17,2.46330733588707e-16,-2.56739074444567e-16,-2.42861286636753e-16,-2.74086309204336e-16,1.94289029309402e-16,-6.93889390390723e-17,1.76941794549634e-16,3.46944695195361e-17,0,-1.90819582357449e-16,2.15105711021124e-16,-1.26634813746307e-16,3.46944695195361e-17,7.63278329429795e-17,-4.30211422042248e-16,-2.74086309204336e-16,-1.73472347597681e-16,5.55111512312578e-17,6.24500451351651e-17,3.64291929955129e-17,2.42861286636753e-16,-1.2490009027033e-16,2.77555756156289e-17,9.71445146547012e-17,-5.89805981832114e-17,0,-1.71032892709588e-16,1.56125112837913e-16,-6.93889390390723e-17,-2.61943244872498e-16,-1.17961196366423e-16,4.85722573273506e-17,1.00613961606655e-16,-1.52655665885959e-16,-3.26344853918137e-17,-1.52655665885959e-16,7.63278329429795e-17,1.87350135405495e-16,5.3776427755281e-17
"k_13",-0.707597763650461,-0.307669173354153,-0.130708321833804,0.825667791789095,-0.384352447706037,0.186743360448526,0.349391810401084,-0.437975590926317,-0.48147362905077,-0.150245804558418,-0.130132918913745,0.32936820856739,0.0661550501027808,-0.139116697367409,-0.000677333833675627,0.0123514469408778,1.17961196366423e-16,-1.76074432811646e-15,-8.81239525796218e-16,1.38777878078145e-16,6.31439345255558e-16,4.44089209850063e-16,2.92734586571086e-16,6.46184494801361e-17,-2.35922392732846e-16,-2.4980018054066e-16,1.80411241501588e-16,-4.92661467177413e-16,-5.82216566624716e-16,-1.14491749414469e-16,-3.19189119579733e-16,1.31838984174237e-16,-1.38777878078145e-16,-7.63278329429795e-17,-2.77555756156289e-17,-3.81639164714898e-16,-6.93889390390723e-16,2.4980018054066e-16,-6.93889390390723e-17,-6.93889390390723e-17,-3.05311331771918e-16,3.12250225675825e-16,-5.55111512312578e-17,1.94289029309402e-16,-5.55111512312578e-17,1.38777878078145e-16,2.56739074444567e-16,-1.63931368479808e-16,4.30211422042248e-16,-6.93889390390723e-18,-6.93889390390723e-18,1.66533453693773e-16,-1.38777878078145e-16,1.2490009027033e-16,3.40873163029443e-16,-9.0205620750794e-17,1.11022302462516e-16,-8.32667268468867e-17,3.98986399474666e-16,-1.66533453693773e-16,4.16333634234434e-17,-6.76542155630955e-17,8.32667268468867e-17,0,2.35922392732846e-16,-1.80411241501588e-16,-8.32667268468867e-17,1.44849410244063e-16,-2.77555756156289e-17,8.32667268468867e-17,-1.38777878078145e-16,1.11022302462516e-16,-5.03069808033274e-17,1.33573707650214e-16,-1.17961196366423e-16,4.16333634234434e-17,-2.70616862252382e-16,-6.24500451351651e-17,1.66533453693773e-16,-5.98479599211998e-17,-1.11022302462516e-16,-3.46944695195361e-16,-6.93889390390723e-18,3.46944695195361e-17,-2.90566182226115e-16,-2.18575157973078e-16,-5.20417042793042e-17,-3.46944695195361e-18,-5.55111512312578e-17,5.55111512312578e-17,-4.85722573273506e-17,-2.08166817117217e-17,6.93889390390723e-18,-1.56125112837913e-17,-1.61329283265843e-16,2.32452945780892e-16,-1.17961196366423e-16,8.23993651088983e-17,1.42247325030098e-16,9.71445146547012e-17
"k_14",-0.62647608286847,-0.795041638891219,0.171069391603969,0.450626985437237,0.361299427194502,0.985959570771627,-0.280835963812554,-0.162031838419267,0.0998999775679666,0.303989235523275,-0.262772146934679,-0.104717924308875,0.0664103579836784,0.164111350756154,-0.109344933583989,0.0743048056749296,2.88831458750138e-15,-7.28583859910259e-16,8.08381139805192e-16,-4.82253126321552e-16,-6.49653941753314e-16,5.20417042793042e-16,1.66533453693773e-16,-3.29597460435593e-17,-2.28983498828939e-16,-4.77048955893622e-16,-1.47451495458029e-17,-1.47451495458029e-16,-1.38777878078145e-17,-2.08166817117217e-16,-6.93889390390723e-17,-2.08166817117217e-16,3.19189119579733e-16,-4.33680868994202e-17,-2.77555756156289e-16,2.61943244872498e-16,9.0205620750794e-16,-4.30211422042248e-16,-1.52655665885959e-16,1.90819582357449e-16,1.64798730217797e-16,-3.46944695195361e-17,1.71737624121704e-16,2.77555756156289e-17,3.2612801348364e-16,-4.02455846426619e-16,2.77555756156289e-17,3.16153353496773e-16,-5.82867087928207e-16,-3.40005801291454e-16,-2.63677968348475e-16,-3.7470027081099e-16,1.38777878078145e-17,7.11236625150491e-17,-2.60208521396521e-16,-5.55111512312578e-17,-3.46944695195361e-16,-1.73472347597681e-16,1.80411241501588e-16,-2.08166817117217e-17,1.66533453693773e-16,1.80411241501588e-16,-8.32667268468867e-17,1.11022302462516e-16,6.93889390390723e-17,3.46944695195361e-17,1.04083408558608e-17,-5.29090660172926e-17,-8.32667268468867e-17,-6.24500451351651e-17,-6.93889390390723e-17,-1.04083408558608e-17,9.0205620750794e-17,-2.15105711021124e-16,2.35922392732846e-16,6.24500451351651e-17,8.32667268468867e-17,6.24500451351651e-17,-2.74086309204336e-16,-1.24032728532342e-16,-1.04083408558608e-16,9.19403442267708e-17,-5.89805981832114e-17,-7.80625564189563e-17,-9.71445146547012e-17,-6.76542155630955e-17,-3.46944695195361e-17,1.38777878078145e-17,-9.71445146547012e-17,-1.52655665885959e-16,6.24500451351651e-17,-6.46184494801361e-17,4.16333634234434e-17,-5.55111512312578e-17,1.11022302462516e-16,6.96057794735694e-17,-2.35922392732846e-16,-7.41594285980085e-17,2.77555756156289e-16,5.55111512312578e-17
"k_15",-0.85494222817973,-1.12262995800171,0.412371671874668,0.392006757043434,-0.60812810781302,-0.52957520180175,0.334796861223805,0.260719677529177,0.325823346154835,0.0945823840400348,-0.435245811400534,0.0368395505564234,-0.20562806209087,0.0518446260073292,-0.0528992729005267,-0.0558893630554456,4.92661467177413e-16,-4.61436444609831e-16,-3.81639164714898e-16,4.05925293378573e-16,1.11022302462516e-16,9.71445146547012e-16,1.17961196366423e-16,8.32667268468867e-17,-2.77555756156289e-17,-4.71844785465692e-16,8.32667268468867e-17,-6.31439345255558e-16,-8.32667268468867e-17,-1.17961196366423e-16,-7.54604712049911e-17,1.70002900645727e-16,-6.1409211049579e-16,-3.98986399474666e-17,-1.38777878078145e-17,3.88578058618805e-16,4.02455846426619e-16,-2.63677968348475e-16,-3.50414142147315e-16,-2.39391839684799e-16,-3.7470027081099e-16,2.98372437868011e-16,6.24500451351651e-17,2.4980018054066e-16,3.12250225675825e-17,5.55111512312578e-17,5.20417042793042e-17,-6.93889390390723e-17,2.64545330086463e-16,-1.52655665885959e-16,-2.10768902331182e-16,1.38777878078145e-17,-1.38777878078145e-16,-6.93889390390723e-17,-2.22044604925031e-16,1.11022302462516e-16,1.38777878078145e-16,3.33066907387547e-16,-7.63278329429795e-17,-3.46944695195361e-18,-5.89805981832114e-17,2.08166817117217e-16,-4.02455846426619e-16,-1.11022302462516e-16,-9.71445146547012e-17,1.66533453693773e-16,-2.08166817117217e-16,1.52655665885959e-16,-1.80411241501588e-16,6.93889390390723e-17,1.35308431126191e-16,-1.96023752785379e-16,2.77555756156289e-16,-1.38777878078145e-17,6.93889390390723e-17,9.0205620750794e-17,-1.59594559789866e-16,-1.00613961606655e-16,-1.2490009027033e-16,-6.24500451351651e-17,-3.12250225675825e-17,-1.75207071073658e-16,1.70002900645727e-16,-7.63278329429795e-17,-1.66533453693773e-16,8.32667268468867e-17,8.67361737988404e-17,1.66533453693773e-16,-4.9960036108132e-16,1.38777878078145e-16,1.21430643318376e-16,3.2612801348364e-16,-2.67147415300428e-16,-5.55111512312578e-17,8.32667268468867e-17,-1.38777878078145e-17,2.77555756156289e-17,6.24500451351651e-17,1.43114686768087e-16,2.63677968348475e-16
